iter	Logloss
0	0.6725791627
1	0.6560021173
2	0.6363619806
3	0.6173881849
4	0.6017638954
5	0.5890687289
6	0.574559555
7	0.5617586741
8	0.5512036816
9	0.5396987327
10	0.5319653018
11	0.526783069
12	0.521465979
13	0.5110699178
14	0.5009522652
15	0.4907548187
16	0.4785663785
17	0.4678533951
18	0.458599489
19	0.4513144623
20	0.4447778123
21	0.4379260054
22	0.4324363439
23	0.4240060339
24	0.4153522249
25	0.4079749755
26	0.4013282621
27	0.3947430968
28	0.3882811537
29	0.3846887658
30	0.3796660523
31	0.3745518304
32	0.3686883379
33	0.3628497085
34	0.3585742711
35	0.3542290097
36	0.349739046
37	0.3455451978
38	0.3421573998
39	0.3382964981
40	0.3346518442
41	0.3303159122
42	0.3258743542
43	0.3220647837
44	0.3197838457
45	0.3163224056
46	0.3133907785
47	0.3097439398
48	0.3053683636
49	0.3022906947
50	0.2987833085
51	0.2951136631
52	0.2915393782
53	0.2888086938
54	0.2854186039
55	0.2827618318
56	0.2811272628
57	0.2786300232
58	0.2759661969
59	0.2741943974
60	0.2716181231
61	0.2682510594
62	0.2661652668
63	0.264374972
64	0.2624208822
65	0.26037387
66	0.2582678462
67	0.2565156356
68	0.2548435927
69	0.2537113677
70	0.2525273534
71	0.2505475936
72	0.2487065595
73	0.2475578519
74	0.2453141206
75	0.2438120429
76	0.2425131009
77	0.2400620269
78	0.2390299968
79	0.2377741633
80	0.2356332981
81	0.2347381135
82	0.2337139054
83	0.2325019237
84	0.2302460241
85	0.2289177569
86	0.2273268515
87	0.2267400131
88	0.2257778766
89	0.2247627579
90	0.2230031886
91	0.2221448598
92	0.2213813371
93	0.2198396691
94	0.2187082261
95	0.2173339332
96	0.2164256948
97	0.2147346302
98	0.2132513261
99	0.2117400094
100	0.2109385418
101	0.2095716562
102	0.2086895576
103	0.208041185
104	0.2072020594
105	0.2062614844
106	0.2057203051
107	0.2049893642
108	0.2041150654
109	0.202976864
110	0.2022468855
111	0.2006588424
112	0.1995637565
113	0.1987527209
114	0.1976715166
115	0.1968981151
116	0.1962263664
117	0.195428307
118	0.1942367328
119	0.1931580019
120	0.1928641329
121	0.1912480957
122	0.1904698375
123	0.1899928421
124	0.1891938102
125	0.1885498703
126	0.1879862477
127	0.1872306685
128	0.1865450429
129	0.185836328
130	0.1853037135
131	0.1846111869
132	0.1841274559
133	0.1832492246
134	0.1825666027
135	0.1816040861
136	0.1811546727
137	0.1807771707
138	0.1798070831
139	0.1794515768
140	0.1787524347
141	0.1783038699
142	0.1778588124
143	0.1771953275
144	0.1767352676
145	0.1760221423
146	0.1756311735
147	0.174822516
148	0.1741400422
149	0.173446203
150	0.1723497487
151	0.1716805398
152	0.1709934538
153	0.1702278246
154	0.1698318794
155	0.1693479012
156	0.1690151068
157	0.1683504915
158	0.1675546526
159	0.1670964529
160	0.1666615977
161	0.16621557
162	0.1658104249
163	0.1649322989
164	0.1643685513
165	0.1637675956
166	0.1634893148
167	0.1627293776
168	0.1622705019
169	0.1615731616
170	0.1611561773
171	0.1603786249
172	0.1600052436
173	0.1597145017
174	0.158977396
175	0.1586128178
176	0.1578655487
177	0.1575932649
178	0.1568335698
179	0.1562642439
180	0.1557950491
181	0.1553145545
182	0.1550416137
183	0.1546376148
184	0.1543203823
185	0.1538195833
186	0.1532829855
187	0.1527581531
188	0.1521988166
189	0.1518833
190	0.1515502343
191	0.1512622062
192	0.1505748997
193	0.1502175543
194	0.14995289
195	0.1495850885
196	0.1490539133
197	0.1488285906
198	0.1485231327
199	0.1479954383
200	0.1474935089
201	0.1472054962
202	0.1466575517
203	0.1463215095
204	0.1454407229
205	0.1452207199
206	0.1449667812
207	0.144644533
208	0.1443921532
209	0.1439649727
210	0.1436417639
211	0.1432306167
212	0.1428416241
213	0.1424801724
214	0.1419075967
215	0.1413441501
216	0.1409814898
217	0.1407842988
218	0.1404008146
219	0.1400331513
220	0.1396215927
221	0.1394435647
222	0.1388963256
223	0.1384018812
224	0.1383332727
225	0.1379372431
226	0.1376105946
227	0.1372932195
228	0.1369811918
229	0.1363901131
230	0.135995604
231	0.1357558342
232	0.1350214675
233	0.1346162815
234	0.1343488937
235	0.1340322369
236	0.1332768778
237	0.1328570249
238	0.1323968399
239	0.131995133
240	0.1317068617
241	0.1313333946
242	0.1308900089
243	0.1307008805
244	0.1303480662
245	0.1300833744
246	0.1295414303
247	0.1291946598
248	0.1285376813
249	0.1282787615
250	0.1278668785
251	0.1275247089
252	0.1271132656
253	0.1269296004
254	0.1267829383
255	0.1265858457
256	0.1263866916
257	0.1259045359
258	0.1254297987
259	0.1250279686
260	0.1247983675
261	0.1244014681
262	0.1240942904
263	0.1238109411
264	0.1236216943
265	0.1234676732
266	0.1231079479
267	0.1227857739
268	0.1224925497
269	0.1222832771
270	0.1219496643
271	0.1217608422
272	0.1215359456
273	0.1211526456
274	0.1209520518
275	0.1206512667
276	0.1203370434
277	0.1199342623
278	0.1196391921
279	0.1192792527
280	0.1190137093
281	0.1185995281
282	0.1184577677
283	0.1181765802
284	0.1177873117
285	0.1175632285
286	0.1174313745
287	0.1171359506
288	0.1170458074
289	0.1166996983
290	0.1165313693
291	0.1163771827
292	0.1162318327
293	0.1160382203
294	0.1157701296
295	0.1155907481
296	0.1151195875
297	0.1148064417
298	0.1145127597
299	0.1143626839
300	0.1140540857
301	0.1138200534
302	0.1134089896
303	0.112850805
304	0.1124819075
305	0.1123356875
306	0.1119452658
307	0.1117165461
308	0.1114737359
309	0.111291335
310	0.1110724993
311	0.1109262136
312	0.1107856009
313	0.1106304576
314	0.1105095893
315	0.1102167526
316	0.1098781577
317	0.109708475
318	0.1095018694
319	0.1092056656
320	0.1087877615
321	0.1086773522
322	0.1085479752
323	0.1083991044
324	0.1081433445
325	0.1080043799
326	0.1077530303
327	0.1075324819
328	0.107441748
329	0.1072117462
330	0.1069306669
331	0.1066621109
332	0.1065432799
333	0.1061867021
334	0.1059861909
335	0.105843558
336	0.1056815093
337	0.105451467
338	0.1052679523
339	0.1051004189
340	0.1049537972
341	0.1045329875
342	0.1043397732
343	0.104163663
344	0.1039547711
345	0.1035870375
346	0.1033764446
347	0.1032265661
348	0.1032148827
349	0.1028707909
350	0.1026729503
351	0.1024866766
352	0.1023845955
353	0.10201291
354	0.1017210336
355	0.10142023
356	0.101301389
357	0.1009571765
358	0.10090911
359	0.1007728685
360	0.1004926316
361	0.1001484689
362	0.099892736
363	0.0996475196
364	0.0994631735
365	0.09899624226
366	0.09884718255
367	0.09862949566
368	0.09843408011
369	0.09839573667
370	0.09838354403
371	0.09822617267
372	0.09806110354
373	0.09791624553
374	0.0977788135
375	0.09765755842
376	0.09755135293
377	0.09727873949
378	0.09692739301
379	0.09653877287
380	0.0963095986
381	0.09611716128
382	0.09590095145
383	0.09569407523
384	0.09554744196
385	0.09532977031
386	0.09511688265
387	0.09505502294
388	0.09483026348
389	0.09474893322
390	0.09459464332
391	0.09444004567
392	0.09425975061
393	0.09408701399
394	0.09392075254
395	0.09374101054
396	0.09359817176
397	0.09337669548
398	0.09307306565
399	0.09286891363
400	0.09274629382
401	0.0926555811
402	0.09253491407
403	0.0923898078
404	0.09225240559
405	0.09218084302
406	0.09215463133
407	0.09192975518
408	0.09179011788
409	0.09170580946
410	0.09144474008
411	0.09131903119
412	0.09115348086
413	0.09100918278
414	0.09090419174
415	0.09064667725
416	0.09047226762
417	0.09046453426
418	0.09019224885
419	0.09011483525
420	0.08993624065
421	0.08983541734
422	0.08974623133
423	0.08968975217
424	0.08954928241
425	0.08925924125
426	0.08921647131
