iter	Passed	Remaining
0	1	1749
1	2	1428
2	4	1377
3	5	1393
4	6	1375
5	8	1384
6	9	1372
7	11	1402
8	16	1817
9	22	2180
10	28	2581
11	30	2521
12	32	2475
13	36	2542
14	38	2498
15	40	2484
16	42	2453
17	44	2400
18	45	2349
19	46	2301
20	48	2260
21	49	2216
22	51	2200
23	53	2171
24	54	2136
25	56	2106
26	58	2097
27	59	2078
28	61	2061
29	63	2044
30	64	2027
31	66	2008
32	68	2020
33	70	1998
34	71	1980
35	73	1965
36	76	1994
37	78	1980
38	79	1964
39	81	1949
40	82	1933
41	84	1926
42	86	1914
43	87	1904
44	89	1896
45	91	1889
46	93	1899
47	95	1885
48	96	1871
49	100	1906
50	101	1893
51	103	1882
52	105	1877
53	106	1873
54	108	1862
55	110	1857
56	112	1856
57	113	1845
58	115	1838
59	118	1854
60	119	1844
61	121	1838
62	124	1858
63	126	1854
64	128	1846
65	129	1836
66	131	1827
67	132	1821
68	134	1820
69	136	1815
70	138	1808
71	140	1804
72	141	1795
73	143	1801
74	145	1793
75	146	1785
76	148	1781
77	150	1777
78	151	1769
79	155	1788
80	156	1780
81	158	1779
82	160	1772
83	161	1765
84	163	1761
85	165	1761
86	167	1759
87	169	1759
88	171	1757
89	173	1751
90	177	1772
91	178	1764
92	180	1760
93	182	1755
94	185	1766
95	186	1758
96	188	1757
97	190	1753
98	192	1749
99	193	1742
100	195	1737
101	196	1731
102	198	1726
103	199	1721
104	201	1715
105	202	1712
106	204	1708
107	206	1704
108	207	1699
109	209	1693
110	211	1692
111	212	1687
112	217	1705
113	218	1699
114	220	1697
115	222	1693
116	224	1692
117	225	1688
118	227	1683
119	229	1680
120	230	1675
121	232	1670
122	233	1666
123	235	1661
124	236	1657
125	243	1687
126	253	1743
127	257	1756
128	259	1754
129	263	1763
130	264	1756
131	271	1785
132	274	1789
133	277	1790
134	279	1790
135	281	1785
136	282	1780
137	284	1776
138	286	1772
139	287	1767
140	289	1761
141	290	1757
142	302	1813
143	304	1807
144	306	1804
145	308	1802
146	309	1796
147	311	1794
148	313	1788
149	314	1782
150	316	1779
151	317	1774
152	319	1768
153	321	1764
154	322	1758
155	324	1752
156	326	1753
157	328	1750
158	330	1747
159	332	1745
160	334	1741
161	336	1739
162	338	1737
163	339	1732
164	341	1730
165	343	1725
166	345	1721
167	347	1718
168	348	1714
169	350	1709
170	351	1704
171	355	1711
172	357	1707
173	358	1704
174	360	1700
175	362	1696
176	364	1693
177	368	1700
178	369	1696
179	373	1699
180	376	1702
181	378	1700
182	379	1695
183	381	1692
184	383	1689
185	385	1685
186	386	1682
187	391	1692
188	405	1739
189	409	1744
190	412	1746
191	414	1743
192	416	1741
193	418	1738
194	419	1732
195	421	1728
196	423	1725
197	425	1722
198	429	1727
199	430	1722
200	432	1719
201	434	1715
202	435	1711
203	437	1706
204	439	1703
205	441	1700
206	443	1697
207	444	1694
208	446	1689
209	449	1691
210	451	1689
211	453	1685
212	454	1680
213	456	1678
214	458	1674
215	460	1671
216	462	1667
217	464	1664
218	465	1661
219	467	1658
220	469	1656
221	471	1651
222	472	1647
223	475	1645
224	476	1642
225	478	1639
226	480	1635
227	481	1631
228	483	1628
229	485	1623
230	486	1620
231	488	1617
232	489	1612
233	492	1612
234	495	1611
235	496	1608
236	498	1605
237	500	1603
238	502	1600
239	504	1598
240	506	1594
241	508	1592
242	510	1590
243	512	1587
244	514	1584
245	519	1591
246	520	1587
247	522	1584
248	524	1582
249	526	1578
250	527	1575
251	529	1571
252	530	1567
253	533	1567
254	535	1563
255	537	1561
256	539	1560
257	541	1557
258	543	1556
259	545	1552
260	546	1548
261	548	1543
262	554	1553
263	558	1557
264	561	1556
265	563	1554
266	565	1551
267	566	1548
268	568	1546
269	570	1542
270	571	1538
271	573	1534
272	575	1531
273	576	1527
274	578	1524
275	579	1520
276	581	1517
277	582	1513
278	584	1509
279	586	1509
280	588	1505
281	589	1502
282	591	1498
283	592	1494
284	594	1491
285	595	1487
286	597	1484
287	599	1481
288	600	1478
289	602	1474
290	604	1472
291	606	1469
292	607	1465
293	608	1462
294	610	1458
295	611	1455
296	613	1452
297	616	1451
298	617	1448
299	619	1444
300	620	1441
301	622	1438
302	624	1435
303	625	1432
304	627	1429
305	628	1425
306	630	1422
307	631	1418
308	633	1416
309	634	1412
310	646	1433
311	655	1444
312	658	1446
313	662	1446
314	664	1445
315	666	1442
316	669	1442
317	671	1439
318	673	1436
319	674	1434
320	676	1430
321	677	1426
322	679	1423
323	682	1423
324	683	1420
325	685	1416
326	687	1413
